feature_idx,rank,cosine_similarity,label,uuid,category,notes
13875,26,0.1286617050847631,"Discussions about secrecy, confidentiality, and restricted information",48fd1a88-f0f6-4fee-b3d7-3ec367693acd,Privacy,Secrecy/confidentiality
2909,27,0.1285475066097203,The AI explaining its nature as a language model and acknowledging limitations,effffcc2-9ab7-40a8-aeec-8e779defba15,Meta,Nature as LM
6440,28,0.1284685824455454,The assistant is providing careful caveats about its capabilities and limitations,9c6eddc1-6863-4f9c-9354-c8be9d297038,Meta,Capability caveats
23050,29,0.1284512759385582,The assistant explaining it is an AI program with limitations,f4e0fd68-dabd-49aa-9007-2edab2feb5d1,Meta,AI program explanation
7184,30,0.1274749937246702,Assistant expressing self-awareness or personal state,56cc6ea1-61c1-45b4-9f6e-8402b8d37804,Meta,Self-awareness
1070,31,0.1272890067157532,Punctuation in responses rejecting inappropriate requests,09e709a7-4082-4e85-8ee0-f1c71f016c65,Format,Punctuation patterns
27433,32,0.1264248565442508,Diplomatic hedging and qualification phrases when handling sensitive topics,47544475-4623-4956-9713-f40dc45dbdc7,Evasion,Hedging phrases
18580,33,0.1262057177150611,Assistant explaining its limitations in Russian conversations,b38987ca-b1d8-4fab-9202-e73cc9d1ce2f,Meta,Language-specific limits
348,34,0.1258540519946376,The assistant should politely reject inappropriate requests,cdca8616-41d3-4c68-9e01-cb00e32a6c29,Refusal,Polite rejection
65284,35,0.1255047012895133,Connecting words in explanatory or procedural text,716d3b70-0f42-4503-92d0-2b104472cd20,Format,Connecting words
2935,36,0.1252957722412707,Professional discourse transitions and conclusion markers,4805791b-7ccc-4969-985c-a9961472fa9e,Format,Discourse markers
22921,37,0.1249381931095916,Linguistic patterns expressing relationships and dependencies,56445f37-f819-4030-93dd-671336af2b66,Format,Linguistic structure
38864,38,0.1248999416269,The assistant expressing commitment to provide ethical and helpful assistance,ea97f0d8-8910-4262-b069-6590e0ace419,Refusal,Ethical commitment
8485,39,0.1237627647098601,Characters beginning to feel uneasy or suspicious in fiction,f4ccac55-bb00-4370-a338-d89f435f8273,Other,Fiction/narrative
64586,40,0.1233775516412431,The assistant is explaining its ethical boundaries and moderation policies,a47a63ee-94b5-45c7-a832-5a31583ebfbd,Refusal,Ethical boundaries
31645,41,0.1230114210470496,The assistant is playfully describing or role-playing its identity,7759911b-fc0b-4c04-9782-7421ec78cde9,Meta,Role-playing identity
62463,42,0.1226828831671718,The assistant needs to politely maintain ethical boundaries while showing empathy,a46c70ef-bac1-4caa-b46d-1ae5bbdf759b,Refusal,Ethical with empathy
31802,43,0.1223051999378302,The assistant is explaining its AI nature and limitations,f585a5f4-69bc-483a-8582-72e8f7f506a5,Meta,AI nature
45542,44,0.1219241508207825,The assistant is explaining its algorithmic processing mechanisms,5d379c88-78db-441b-bf52-9b6060a4768a,Meta,Algorithmic explanation
42016,45,0.1215153307602491,The assistant is explaining its role as an information provider,49a299a4-4bad-4fc3-9212-0875f72a37c0,Meta,Role explanation
2675,46,0.1214442899900742,AI describing its operational status as functioning properly,e3898062-34fc-4c9b-9417-c55dee7a40c6,Meta,Operational status
53776,47,0.1210328127428512,AI making misleading claims about internet connectivity and access capabilities,2851dd42-d645-4fd0-b387-91792fe6e560,Other,Misleading claims
17677,48,0.1199493926237908,The assistant explains its responses are based on training data,e3e9d4fb-962d-4ffb-b8c3-d38038e23b0b,Meta,Training data basis
23052,49,0.1197893568936416,The assistant is redirecting after rejecting an inappropriate request,00d543f4-9f4d-4cac-9ac9-297fd3778d8d,Refusal,Redirect after rejection
8768,50,0.1197448083066537,The assistant is explaining its purpose and capabilities,6a354cac-ddd5-4fd6-b323-4b9fdab769c0,Meta,Purpose explanation
